SongNumber,SongID,ArtistFamiliarity,ArtistHotness,ArtistID,ArtistLocation,ArtistName,AlbumName,AlbumID,SongHotness,Title,Danceability,Duration,Energy,KeySignature,KeySignatureConfidence,Loudness,Mode,Tempo,TimeSignature,TimeSignatureConfidence,Year
11,SOQHXMF12AB0182363,0.360031166,0.296268954,ARGSJW91187B9B1D6B,North Carolina,JennyAnyKind,I Need You,539081,0,Young Boy Blues,0,218.77506,0,5,0.354,-10.021,0,146.765,1,0,0
12,SOKEJEJ12A8C13E0D0,0.545159296,0.351555861,ARC43071187B990240,Wisner LA,Wayne Watson,The Way Home,163874,0.265861049,The Urgency (LP Version),0,245.21098,0,7,0.07,-7.545,1,117.975,4,0.835,0
13,SOMUYGI12AB0188633,0.577508974,0.37948217,ARL7K851187B99ACD2,,Andy Andy,Placer & Castigo,575792,0,La Culpa,0,226.35057,0,9,0.205,-6.632,1,130.04,4,0,0
14,SORAMLE12AB017C8B0,0.085512047,0.251936525,ARHHO3O1187B989413,,Bob Azzam,Arrivederci,815863,0,Auguri Cha Cha,0,191.84281,0,10,0,-7.75,0,137.334,1,0.319,0
15,SOBONFF12A6D4F84D8,0.776675856,0.553071991,ARIK43K1187B9AE54C,Beverly Hills CA,Lionel Richie,Dancing On The Ceiling,25811,nan,Tonight Will Be Alright,0,307.3824,0,3,0.524,-8.346,1,125.197,3,0.211,1986
16,SOHUOAP12A8AE488E9,0.636423645,0.44793548,ARD842G1187B997376,Toronto Ontario Canada,Blue Rodeo,Outskirts,135122,0.405115722,Floating,0,491.12771,0,7,1,-8.576,1,119.826,4,0.756,1987
17,SOUQQEA12A8C134B1B,0.419943148,0.330806357,ARIG6O41187B988BDD,United States,Richard Souther,Cross Currents,149958,0.334706549,High Tide,0,228.5971,0,8,0.041,-16.11,1,127.756,5,0.579,0
18,SOILPQQ12AB017E82A,0.363280571,0.306676093,AR1ZHYZ1187FB3C717,,Faiz Ali Faiz,Panjtan Ka Ghulam,535188,nan,Sohna Nee Sohna Data,0,599.24853,0,6,0.06,-8.032,1,99.273,4,0.158,0
19,SOXLBJT12A8C140925,0.707199764,0.51346329,ARYKCQI1187FB3B18F,,Tesla,Gold,372309,0.684136191,Caught In A Dream,0,290.29832,0,7,0.725,-5.271,1,150.062,4,0.931,2004
20,SOZVMJI12AB01808AF,0.32031437,0,ARNPAGP1241B9C7FD4,,lextrical,Whatever Happened To Boredom?,541101,0,Synthetic Dream,0,165.69424,0,7,0.011,-6.787,1,138.331,4,0.127,0
21,SOWTBJW12AC468AC6E,0.39413854,0.291539727,ARQGYP71187FB44566,Mineola AR,Jimmy Wakely,1942-1952 Jimmy Wakely,605134,nan,Broken-Down Merry-Go-Round,0,151.84934,0,1,0.799,-15.221,1,86.186,3,0.929,0
22,SOBEBDG12A58A76D60,0.489816269,0.328553015,ARI3BMM1187FB4255E,Washington,Alice Stuart,All The Good Times,239740,0,Kassie Jones,0,220.78649,0,11,0.809,-8.514,1,110.382,1,0.192,0
23,SOZCTXZ12AB0182364,0.677420465,0.378254686,AR5KOSW1187FB35FF4,Dubai UAE,Elena,Un cafe_ setanta matins,386995,0.313562114,Setanta matins,0,269.58322,0,2,0.596,-8.05,1,111.874,4,1,0
24,SOBBUGU12A8C13E95D,0.839962768,0.541888972,ARMAC4T1187FB3FA4C,Morris Plains NJ,The Dillinger Escape Plan,Miss Machine,223365,0.666527846,Setting Fire to Sleeping Giants,0,207.77751,0,7,0.381,-4.264,1,166.862,4,0,2004
25,SOBLGCN12AB0183212,0.435415818,0.306242264,AR47JEX1187B995D81,Nevada MO,SUE THOMPSON,Sue Thompson - Her Very Best,652784,0.495293621,James (Hold The Ladder Steady),0,124.86485,0,10,0.697,-12.332,1,137.522,4,0,1985
26,SOPSWQW12A6D4F8781,0.6090637,0.363651365,ARGIWFO1187B9B55B7,,Five Bolt Main,Live,45730,0.375984302,Made Like This (Live),0,225.09669,0,7,0.53,-5.908,1,164.672,1,0,0
27,SOZQDIU12A58A7BCF6,0.550513698,0.422705641,ARNTLGG11E2835DDB9,,Clp,Strictly Confidential,672016,nan,Superconfidential,0,338.31138,0,6,0.687,-6.486,0,125.006,4,1,0
28,SONYPOM12A8C13B2D7,0.459797129,0.349912612,ARDNS031187B9924F0,Georgia,Tim Wilson,The Real Twang Thang,160881,nan,I Think My Wife Is Running Around On Me (Taco Hell),0,186.48771,0,5,0.762,-4.516,1,90.022,1,0.971,2005
29,SOBZBAZ12A6D4F8742,0.588827101,0.379671125,AROUOZZ1187B9ABE51,New York NY [Spanish Harlem],Willie Bobo,Willie Bobo's Finest Hour,59744,nan,Spanish Grease,0,168.25424,0,8,0.812,-9.616,1,127.025,4,0.792,1997
30,SOVYKGO12AB0187199,0.396455254,0.299230368,ARH4Z031187B9A71F2,Newark NJ,Faye Adams,Shake A Hand,373723,0,Crazy Mixed Up World,0,156.39465,0,8,0.569,-18.051,1,95.957,3,0.689,1961
31,SOGNCJP12A58A80271,0.706827671,0.416173065,ARB29H41187B98F0EF,Chicago,Terry Callier,Occasional Rain,228326,0.413739836,Do You Finally Need A Friend,0,342.56934,0,6,0.381,-11.939,1,110.189,3,0.353,1972
32,SOLLHMX12AB01846DC,0.560557984,0.452789477,AR1Y2PT1187FB5B9CE,Brandon,John Wesley,The Emperor Falls,463514,0.377531645,The Emperor Falls,0,484.62322,0,4,0.283,-15.335,0,138.007,4,0.893,0
33,SOYTPEP12AB0180E7B,0.640807102,0.418216518,ARAJPHH1187FB5566A,Queens NY,The Shangri-Las,Best of The Shangri-Las,643400,0.443291312,Twist and Shout,0,164.80608,0,10,0.254,-10.922,1,130.1,1,0,1964
34,SOGXHEG12AB018653E,0.523714637,0.384611084,AR0RCMP1187FB3F427,Beaumont TX,Billie Jo Spears,20 Of Her Best,663761,0,It Makes No Difference Now,0,133.32853,0,4,0.384,-9.983,1,160.839,1,0,1992
35,SOOLYAZ12A6701F4A6,0.79360508,0.426317956,AREBBGV1187FB523D2,Houston TX,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,12882,nan,Laws Patrolling (Album Version),0,173.66159,0,7,0.299,-7.762,1,41.993,1,0,0
36,SOGOSOV12AF72A285E,0.501544777,0.392733676,ARGUVEV1187B98BA17,,Sierra Maestra,Tibiri Tabara,270281,nan,¿Dónde va Chichi?,0,313.12934,0,9,0.724,-9.512,1,189.646,3,0.674,1997
37,SOJXVAH12A8C139700,0.809323793,0.488019842,ARPQ4Z01187FB3A736,San Antonio TX,Butthole Surfers,Piouhgd + Widowermaker!,244586,0.593943076,"Barking Dogs (From Piouhgd"")""",0,450.84689,0,4,0.726,-9.063,0,130.586,4,0.42,0
38,SOVXMTN12A8C135A18,0.632559542,0.41168896,ARNQAVF11F4C844C04,,Despina Vandi,Profities,157648,nan,OUTE ENA EFHARISTO,0,303.09832,0,8,0.532,-8.879,0,128.292,4,0.83,0
39,SORSECL12AB0182267,0.597541218,0.382651971,ARXUT4W1187FB48BEB,,Javier Navarrete,Cracks,644631,0.394394856,Midnight Swim,0,128.83546,0,3,0,-17.699,1,90.932,3,1,0
40,SOOGFBZ12AC3DF7FF2,0.495445922,0.294861262,ARDD1RC1187B9B52B4,,Jacob Young,Pieces Of Time,730551,0,In A Subtle Way,0,456.30649,0,1,0.611,-19.478,1,89.667,4,0.747,0
41,SOMSBGZ12AB018C4CB,0.527865076,0.393121934,ARLGWFM1187FB4AC9F,California - LA,Scarlet's Remains,The Palest Grey,709879,0.450992312,Spin,0,198.73914,0,7,0.673,-7.469,1,115.061,4,0.731,2007
42,SONYRZV12AB018AF70,0.668674533,0.467538444,ARWYVP51187B98C516,Detroit MI,The Suicide Machines,A Match & Some Gasoline,706005,0.528782481,Burning In The Aftermath,0,95.68608,0,2,0.421,-2.022,1,115.887,4,0.744,2003
43,SONQBUB12A6D4F8ED0,0.814829656,0.735765693,ARFCUN31187B9AD578,London England,The Rolling Stones,Jump Back - The Best Of The Rolling Stones_ '71-'93,42595,0.83449262,Angie (1993 Digital Remaster),0,271.49016,0,9,0.301,-10.358,0,139.333,1,0,0
44,SOHGKJW12AC468A8BD,0.482356043,0.350078579,AR6YDKV1187B989230,,Roberto Torres,Lo Mejor con La Orq. Broadway,782470,0,Sabor Guajiro,0,226.66404,0,0,0.863,-12.716,1,117.271,4,0.453,0
45,SOINBCU12A6D4F94C0,0.661080168,0.442765842,ARV1JVD1187B9AD195,Chapel Hill NC,Loudon Wainwright III,Grown Man,28723,0.510119314,Human Cannonball,0,190.48444,0,3,0.544,-15.663,1,102.428,4,0.496,1995
46,SOTWVQT12A58A79650,0.701180874,0.466628889,AR7TTS41187B9B42D3,Oxford MS,R.L. Burnside,A Bothered Mind,557761,0.482137585,Glory Be,0,277.78567,0,2,0,-6.944,1,89.984,4,0,2004
47,SOTSEJY12AB0180F56,0.73379894,0.544257506,ART3O5Z1187B9AB043,Dallas TX,Stevie Ray Vaughan,Greatest Hits,417945,nan,Crossfire,0,248.78975,0,1,0.754,-7.805,1,116.721,4,0.522,1992
48,SOTSETT12AB01863B8,0.590692918,0.452817838,AR5U94U1187FB5CDCF,,John Hammond,Bluesman,575531,nan,I Can't Be Satisfied,0,195.3171,0,7,0.98,-10.7,1,123.142,4,0.678,2002
49,SOTUNMH12A6D4FA3E6,0.665322162,0.394217199,ARRJNTE1187FB44E12,,Casiotone For The Painfully Alone,Etiquette,234425,0.785892288,Nashville Parthenon,0,175.72526,0,0,0.522,-10.93,1,141.919,4,0.445,2006
50,SOEPPKB12AB018418B,0.50407567,0.33457736,AR6IRG41187B9A4D98,Berlin Germany,Ec8or,Ec8or,505301,nan,Cocain Ducks,0,217.23383,0,10,0.005,-9.493,0,95.596,4,1,1995
51,SOGKIWV12A6D4F86C4,0.717670525,0.479308459,ARS1OWB1187B99EEAD,New York NY,The New York Dolls,Too Much Too Soon,74655,0.561692411,Human Being,0,344.05832,0,11,0.425,-9.253,1,154.953,1,0,1974
52,SOPHYIS12AAF3B35A3,0.669726188,0.427914247,ARGMXQW1187FB54C34,Sao Paulo Brazil,Eliane Elias,Bossa Nova Stories,322532,0.43483809,The More I See You,0,251.42812,0,7,0.391,-12.009,1,86.091,5,0.551,2009
53,SOFHBAR12A6701D0FE,0.569741152,0.412240601,AROEL1B1187B988B90,South Jamaica Queens,Lost Boyz,Love_ Peace & Nappiness,14592,0.405115722,Certain Things We Do,0,269.7922,0,7,0.715,-11.043,1,90.218,4,1,1997
54,SOCPRKM12AB018A2FD,0.640048357,0.40439264,AR8W8DN1187FB35ED0,Los Angeles CA,The Germs,Germicide,515081,nan,Forming,0,206.05342,0,11,0.641,-11.506,0,133.144,1,0,1977
55,SOFGHAM12AB0186412,0.397772876,0.383475745,ARUWLCL1187FB549B8,,Yamandu Costa,Mafuá,765750,nan,Mafuá,0,190.04036,0,2,0.105,-14.179,1,205.317,4,0,0
56,SODHVES12A6701CE6B,0.643182773,0.500691341,AR3793X1187FB50CB3,Middlesbrough England,Chris Rea,The Road To Hell Part 2,17220,0.767727748,Driving Home For Christmas,0,241.162,0,9,0.222,-8.531,1,180.149,4,0,1986
57,SOXIATP12AAF3B2184,0.411421048,0.338414818,ARINEWW1187FB5577E,,Perrey And Kingsley,Vanguard Visionaries,617077,0.43483809,Spooks In Space,0,122.64444,0,0,0.61,-8.541,0,102.538,4,0.869,1966
58,SOGNQWU12A8AE4868F,0.75100762,0.523699078,ARDGB6U1187FB3AD07,London England,Eurythmics,Be Yourself Tonight,278999,0.38293509,Tous Les Garçons Et Les Filles,0,207.0722,0,0,0.442,-6.629,1,84.164,4,0.853,1985
59,SOYQOFI12A6D4F76E1,0.54858513,0.383524247,AR2J2WF1187FB46271,Egremont Cumbria England,Francis Dunnery,Hometown 2001,19601,0.610474258,Too Much Saturn,0,300.79955,0,7,0.666,-13.33,1,124.175,4,0.698,1995
60,SOVOLGY12A6D4F822B,0.749317801,0.481655862,ARUI8651187B9ACF52,Garnant Wales,John Cale,Eat / Kiss: Music For The Films By Andy Warhol,38599,0.226555314,Movement 4 [from Kiss] (Album Version),0,228.46649,0,7,0.458,-12.412,1,137.004,1,0,1997
61,SOMZCVH12AB0182B8E,0.631946666,0.380704536,AR89DTT1187B9A7ED5,California - SF,Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,619882,0.415983118,Stream,0,239.59465,0,7,0.527,-21.552,1,106.33,4,0.526,0
62,SONXJBL12AAF3B2C0C,0.653937821,0.396855869,ARMD0G81187B99A519,,Vickie Winans,Classic Gold: Best of All,618615,nan,Make Me Over,0,228.93669,0,11,0.172,-8.686,0,107.961,4,1,0
63,SOYWZTU12AB0180E26,0.668370612,0.45755391,AR0VZWC1187B99BA57,Melbourne Australia,The Berzerker,The Berzerker,681639,0,Deform (live),0,165.61587,0,1,0.108,-6.222,1,174.287,3,0.132,2000
64,SOLGHDZ12AB0183B11,0.845768866,0.788805935,ARF2EHS1187B994F4E,Nashville Tennessee,Kings Of Leon,Holy Roller Novocaine,449471,0.685940227,Wicker Chair,0,187.92444,0,0,0.612,-5.907,1,116.823,4,0.347,2003
65,SOTNTNJ12AAA15FBD6,0.407455644,0.30004649,ARZKRD01187FB45FD2,,Edith Lefel,Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),321356,0,An ti chans',0,276.50567,0,0,0.29,-4.638,1,101.972,4,1,0
66,SOXZXXV12AAF3B3A67,0.460171324,0.189314878,ARK4H5K1187B992F74,,Taras,I Will Love Again,530141,nan,I Will Love Again (JJ's Club Radio),0,200.25424,0,11,0.056,-5.884,0,127.97,4,0,0
67,SOPIKEG12A58291636,0.778816717,0.554291489,AR06EB01187FB40150,Berkeley CA,NOFX,White Trash ......,104765,0.671236027,Stickin In My Eye,0,144.50893,0,4,0.093,-7.787,0,152.622,4,0.358,1992
68,SOIRNBO12AC468D207,0.435889847,0.26803784,ARKPDBH1242077DEB1,,Murskahumppa,Murskapunkkia,695158,nan,Ota kiinni,0,285.17832,0,7,0.379,-8.488,1,110.787,3,1,0
69,SOSBDSF12AB0189007,0.711165787,0.466826993,ARBJSO81187B9BA09B,,Soda Stereo,Canción Animal,509770,0.62616576,Entre Caníbales,0,246.69995,0,7,0.161,-9.603,1,112.903,4,1,1990
70,SOIJXXM12A8C1416D6,0.443162398,0.30045446,ARRC2JF1187B9B6A93,AUSTRALIA,Bruce Rowland,The Man from Snowy River,223779,0,Rosemary Recalls,0,84.03546,0,7,0.469,-26.266,1,115.642,4,0.44,1985
71,SOHMMMC12AB0181C42,0.400433513,0.266275286,ARNIFX51187FB418EA,,Xcultures,One World One People,466577,0.199238262,Sudanese Dance,0,273.52771,0,1,0.652,-6.305,1,125.013,4,1,2000
72,SOVJXVJ12A8C13517D,0.477364752,0.337507289,ARCCRTI11F4C845308,,White Heart,Tales Of Wonder,148547,0.265861049,Where The Thunder Roars (Tales Of Wonder Album Version),0,298.84036,0,5,0.596,-9.998,1,113.277,4,0.872,0
73,SOFZCTA12AB0188D8F,0.617870116,0.36366811,ARNVH8S1187FB52F86,Jamaica West Indies,Heavy D / McGruff,Waterbed Hev,423012,0.237733942,Wanna Be A Player,0,161.38404,0,5,0.665,-9.161,0,96.979,4,0.895,1997
74,SOLRYQR12A670215BF,0.744641246,0.579988982,ARNLO5S1187B9B80CC,Pasadena CA,Van Halen,The Best Of Both Worlds,7133,0.82448213,Panama (Remastered Album Version),0,209.29261,0,8,0.455,-4.865,1,140.995,1,0.41,0
75,SOCHRXB12A8AE48069,0.845601887,1.005941966,ARTDQRC1187FB4EFD4,Los Angeles CA,Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,358442,0.624425493,Let's Get It Started,0,229.61587,0,11,0.205,-4.882,0,105.206,4,1,2004
76,SOKBBXO12A6701DEA0,0.905776889,0.598458501,ARK9TRQ1187B99C095,Cleveland OH,Nine Inch Nails,Things Falling Apart,15567,0.635536649,Metal,0,426.89261,0,0,0.05,-12.951,0,63.017,4,0.378,2000
77,SOWHYUG12A58A77FAB,0.694021648,0.479407676,ARODBRG1187FB3FD99,,Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),413222,nan,She Fell Away (2009 Digital Remaster),0,269.26975,0,9,0.052,-11.751,0,144.603,4,0,0
78,SOYSTDI12A6D4F6500,0.408389022,0.139247394,ARMBYRO1187FB57419,,Nadine Renee,Oasis of Love,80578,0.198785349,Next Time,0,249.41669,0,2,0.883,-6.693,1,167.92,4,0.75,0
79,SOOOROX12A6D4F8400,0.606925359,0.389100776,ARWY7I71187FB36C3D,New York NY,Lesley Gore,60's Triple set,26902,nan,It's My Party,0,136.48934,0,9,0.386,-9.091,1,129.122,1,0,1963
80,SONSPZE12AB01819CE,0.562463784,0.322485106,AR6Y22S1187B99906F,,Smartbomb,Yeah.  Well_ Anyway....,633532,0,Complicate It,0,233.27302,0,0,0.53,-2.658,1,132.022,4,0.782,2001
81,SOHWGFU12AB017B036,0.481004583,0.335651839,ARI5P4N1187FB3F44D,Minnesota,Suburbs,Un Titre de Toune,435830,0.249065795,Monde De Fou,0,187.24526,0,1,0.842,-4.42,1,183.92,1,0.063,2005
82,SOQQVQJ12AB0185192,0.742963152,0.453391186,ARYPWUK1187B98ACED,Norway,Emperor,Live Inferno,495734,nan,Opus a Satana (Part 2),0,72.61995,0,9,0,-11.051,0,89.867,4,0.476,0
83,SODRHHD12AB0189F2A,0.58547954,0.364384924,ARW63KF1187B98AC48,FR,Julien Clerc,Vendredi 13 - 1981,664484,nan,This Melody (Live),0,272.63955,0,2,0.633,-9.97,1,119.896,5,0.921,0
84,SOQGFVO12A8C13C8C3,0.67159627,0.481024239,AR8H87D1187FB3A841,Delight AR,Glen Campbell,Unconditional Love,112851,nan,I'm Gone This Time,0,142.75873,0,1,0.62,-11.335,0,137.29,4,0,0
85,SORABMD12A8C136672,0.449323615,0.343281882,ARLWR721187B9A03C9,Humboldt TN,T.G. Sheppard,The Very Best Of,200689,0.382723281,You Feel Good All Over,0,194.11546,0,5,1,-15.581,1,82.343,1,0.387,2002
86,SOTUBVH12AB018D2EC,0.51644378,0.386669092,ARF4V431187FB3AA41,Tampa FL,Slim Whitman,Country Lovers. Vol. 3,682725,nan,Indian Love Call,0,195.91791,0,3,0.883,-11.98,1,91.487,4,0,1990
87,SOMQAGT12A8C132DB4,0.728209707,0.538070295,ARBGWMW1187B9AEA3E,CA,Savage Garden,Affirmation,287804,nan,You Can Still Be Free,0,118.33424,0,9,0,-11.215,0,84.69,5,0.678,1999
88,SOKLLOH12A67020F2C,0.798645179,0.552413346,AR6G4V01187B9AD086,,Queens Of The Stone Age,Lullabies To Paralyze,220917,0.725121284,I Never Came,0,288.41751,0,2,0.08,-8.165,1,115.606,4,0,2005
89,SONRLQH12AB017C232,0.445854631,0.347598889,ARVQ4QM1187B98AD95,Birmingham AL,Hank Penny & The Lincoln Penny Orchestra,It's War Again,629785,nan,Dixie,0,123.21914,0,7,0.278,-12.69,0,126.523,1,0,0
90,SODDZAD12A6701DC4C,0.605109702,0.398547535,AR9AM2N1187B9AD2F1,Manchester England,Inspiral Carpets,The Singles,11305,0.665172241,Commercial Reign,0,283.76771,0,2,0.823,-8.7,1,113.677,4,1,1990
91,SORENXV12A6701F61F,0.454043995,0.421415103,AR9XEVF1187B99D017,,Borialis,What You Thought You Heard,4967,0.554654767,Hourglass,0,239.3073,0,2,0.569,-5.758,1,86.938,4,0.222,0
92,SOYMMDY12AB01825B2,0.543516131,0.404182207,ARCFOZ71187FB43A0D,,The Dirty Skirts,Daddy Don't Disco,325335,0.304169503,Wake,0,206.75873,0,0,0.613,-4.907,1,141.936,4,0.634,0
93,SOJWQIP12A6D4F710A,0.42054585,0.313569343,ARHFEBO11F50C4825A,,Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,82932,nan,Caricia Y Herida,0,134.81751,0,11,0.847,-8.133,1,106.049,1,0,0
94,SOOVOKS12AB017EE57,0.373850623,0.148985481,AR107SB1187B9A79F9,Bézu comme Superdupont ne connait qu&#039;un pays : la France !,Bézu,Le top du père Nöel,401583,nan,Le tortillard,0,285.64853,0,8,0.508,-9.093,1,126.88,4,0,0
95,SORWHWY12A6702038E,0.743129776,0.493566843,ARXWAQQ1187B9AE954,Newark NJ,Redman,Malpractice,8552,0.57010593,WKYA (drop),0,124.18567,0,1,0.074,-10.296,0,85.008,5,1,2001
96,SOGYYLE12A8C13E5EA,0.13818761,0.31781096,ARL6XZC1187FB3936E,,Solistiyhtye Suomi,20 Suosikkia / Rilluttele yö,217058,nan,Teräslintu,0,134.08608,0,4,0.718,-12.839,0,133.699,1,0,0
97,SOITUXQ12AB0183AE9,0.416141022,0.331090126,ARSDSMG1187B98CB59,New York NY,Eddie Cantor,The Fabulous Eddie Cantor,489673,nan,Now's The Time To Fall In Love,0,155.61098,0,11,0.599,-13.71,1,118.975,1,0.003,0
98,SOTWEZZ12A8C142B60,0.495559652,0.349192218,AR3WMW01187B9921F7,,Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,475992,nan,Grim Prospects (Gross Prospects - Bad Trip Remix),0,275.40853,0,9,0.376,-2.119,1,102.408,4,0.395,0
99,SOUVRGZ12A58A77F90,0.430538907,0.316354001,AR3C3C01187B98E800,Aarhus Denmark,Kai Winding,The Incredible Kai Winding Trombones,495041,0,Mangos,0,223.4771,0,0,0,-14.438,1,112.006,4,0.844,1961
100,SOBLTSM12A6D4F9EEA,0.428375417,0.317833879,ARDD9UN1187B98D3A7,Sicily Island LA,Sonny Simmons,Staying on the Watch,225610,0.270775999,A Distant Voice,0,443.24526,0,1,0,-13.002,1,45.527,4,0,0
101,SOUQVUD12A8C142DCE,0.545110951,0.345751247,ARJGNV61187B98F3B5,Tallahassee FL,Mira,Openbare Weg,473710,nan,Openbare Weg,0,177.81506,0,4,0.695,-12.004,1,85.621,4,0.612,2006
102,SOCRPDR12AB0185B75,0.483339422,0.277561738,ARSVI4L1187B996181,,Citizen Kaned,Tip World Singles 2000,710902,nan,President Johnson,0,385.33179,0,8,0.822,-8.37,0,108.061,4,1,2000
103,SOXVBVL12AF72A600C,0.559278494,0.432011947,ARVJ0JK1187B98C9C0,,The Brooklyn Tabernacle Choir,Praise Him...Live!,341940,0.405115722,Lead Me Lord,0,324.44036,0,7,0.558,-11.829,1,216.195,5,1,1995
104,SOIQHDR12AB01896C8,0.438887475,0.325148571,AR4PCIG1187B98D07D,Nashville TN,Ellen McIlwaine,Spontanous Combustion,766444,0.242741879,Spontanous Combustion,0,275.12118,0,7,0.699,-6.29,1,132.428,4,0.281,0
105,SODLSHA12AAF3B29F2,0.57810363,0.414892612,AR1RHCO1187B9AF0BF,San Francisco CA,Vince Guaraldi / Bola Sete,From All Sides,432406,0.386790177,Choro,0,294.66077,0,5,0.238,-15.761,0,168.307,4,0,0
106,SOAGHMH12AB0180285,0.502453177,0.391585329,AR1X2H01187B98CCF2,Menilmontant France,Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,546663,nan,Ma Louise,0,193.20118,0,0,0.371,-27.433,1,140.956,7,0.866,0
107,SORAVUP12AB018556E,0.541975108,0.384184258,ARBQBZV1187B99D29E,,Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,548374,0.511254835,I Want You (Forever),0,357.82485,0,1,0.485,-5.701,1,130.016,5,1,1991
108,SOFXNQP12AB0184F1A,0.683719468,0.412671631,AR9ODB41187FB459B2,SPRINGFIELD Virginia,Organized Konfusion,The Equinox,704183,0.460484845,Hate,0,198.3473,0,11,0.306,-8.709,0,175.769,4,0.7,1997
109,SOGQTRZ12A8C13C8B0,0.614870934,0.628246419,ARF3GX71187FB3EB66,Medicine Lodge KS,Martina McBride,Timeless,307618,0.488289876,I Can't Stop Loving You,0,261.95546,0,7,0.96,-13.627,1,100.194,3,1,2005
110,SOBHVZQ12AC9618285,0.626436382,0.374271174,AR3PN3R1187FB4CEBD,Kingston Jamaica,Horace Andy,Feel Good All Over: Anthology 1970-1976,784530,nan,Thank You Lord,0,176.27383,0,2,0.171,-11.479,1,151.911,4,0.231,1985
111,SOYPBCY12AB0181EF3,0.494681417,0.384146444,ARYWCFZ11E2835CFDD,,Nazz,13th And Pine,534470,nan,How Can You Call That Beautiful (Stewkey Vocal),0,220.89098,0,9,0.606,-6.302,1,119.691,4,0.491,0
112,SOWRLSY12AC4687694,0.543866302,0.393215104,ARUT16P1187FB532A4,Greenville MS,Tyrone Davis,Call Tyrone,599659,nan,Cheatin' In The Next Room,0,235.91138,0,10,0.46,-10.466,1,161.976,4,0.696,0
113,SOOGQWR12A8C142505,0.567278871,0.405178359,AREOGMA1187B9908EF,San Francisco CA,Hot Tuna,Final Vinyl,372122,nan,Candy Man,0,239.59465,0,0,0.601,-9.275,1,172.398,1,0,1971
114,SOJDYQY12AB0188C97,0.432386477,0.28404741,AR4ABL21187FB3913A,Pennsylvania,Richard Burton,Fifteen Poems By Dylan Thomas,577023,0,I See The Boys Of Summer,0,171.49342,0,2,0.45,-37.398,1,109.823,3,0.659,0
